"Fartøy","Name","From","To","Length","Type","GrossTonnage","IMO"
"CHRISTIAN RADICH","Christian Radich","Sirevåg","Tromsø","58.55","95","663","5071729"
"STAVANGERFJORD","Stavangerfjord","København","Hirtshals","170","43","31678","9586605"
"TRANS CARRIER","Trans Carrier","Rotterdam","For order","144.15","34","9953","9007879"
"SHJANDY","Shjandy","Ukjent norsk havn","Ukjent norsk havn","38.6","42","221","7742736"
"ORIANA","Oriana","Alta","Southampton","260","44","69840","9050137"
"ORIANA","Oriana","Ukjent norsk havn","Southampton","260","44","69840","9050137"
"SAGA PEARL II","Saga Pearl Ii","Narvik","Dover","164.35","44","18627","8000214"
"SAGA PEARL II","Saga Pearl Ii","Flåm","Dover","164.35","44","18627","8000214"
"SAGA PEARL II","Saga Pearl Ii","Dover","Sognefjorden","164.35","44","18627","8000214"
"ASTORIA","Astoria","Ålesund","Tilbury","160.08","44","16144","5383304"
"BRAEMAR","Braemar","Bergen","Dover","195.82","44","24344","9000699"
"AIDAVITA","Aidavita","Eidfjord","Hamburg","202.85","44","42289","9221554"
"AIDAVITA","Aidavita","Eidfjord","Hamburg","202.85","44","42289","9221554"
"AURORA","Aurora","Southampton","Flåm","270","44","76152","9169524"
"AURORA","Aurora","Southampton","Ålesund","270","44","76152","9169524"
"AURORA","Aurora","Southampton","Olden","270","44","76152","9169524"
"BRITANNIA","Britannia","Southampton","Flåm","330","44","143730","9614036"
"BRITANNIA","Britannia","Southampton","Flåm","330","44","143730","9614036"
"BRITANNIA","Britannia","Southampton","Olden","330","44","143730","9614036"
"BRITANNIA","Britannia","Southampton","Olden","330","44","143730","9614036"
"BRITANNIA","Britannia","Southampton","Olden","330","44","143730","9614036"
"BRITANNIA","Britannia","Southampton","Olden","330","44","143730","9614036"
"VIKING SEA","Viking Sea","Eidfjord","Aalborg","227.2","44","47842","9725421"
"VIKING SEA","Viking Sea","Aalborg","Eidfjord","227.2","44","47842","9725421"
"VIKING SEA","Viking Sea","Eidfjord","Aalborg","227.2","44","47842","9725421"
"VIKING SEA","Viking Sea","Aalborg","Eidfjord","227.2","44","47842","9725421"
"VIKING SEA","Viking Sea","Eidfjord","Aalborg","227.2","44","47842","9725421"
"VIKING SEA","Viking Sea","Eidfjord","Aalborg","227.2","44","47842","9725421"
"VIKING SEA","Viking Sea","Aalborg","Eidfjord","227.2","44","47842","9725421"
"AIDALUNA","Aidaluna","Eidfjord","Oslo","252","44","69200","9334868"
"AIDALUNA","Aidaluna","Eidfjord","Oslo","252","44","69200","9334868"
"AIDALUNA","Aidaluna","Olden","Kiel","252","44","69200","9334868"
"AIDALUNA","Aidaluna","Olden","Kiel","252","44","69200","9334868"
"CELEBRITY ECLIPSE","Celebrity Eclipse","Ålesund","Southampton","317.14","44","121878","9404314"
"SEABOURN QUEST","Seabourn Quest","Bergen","København","198.19","44","32477","9483126"
"SEABOURN QUEST","Seabourn Quest","Bergen","København","198.19","44","32477","9483126"
"SEABOURN QUEST","Seabourn Quest","Eidfjord","Dover","198.19","44","32477","9483126"
"VIKING STAR","Viking Star","Eidfjord","Aalborg","228.3","44","47842","9650418"
"VIKING STAR","Viking Star","Aalborg","Eidfjord","228.3","44","47842","9650418"
"VIKING STAR","Viking Star","Aalborg","Eidfjord","228.3","44","47842","9650418"
"VIKING STAR","Viking Star","Eidfjord","Aalborg","228.3","44","47842","9650418"
"VIKING STAR","Viking Star","Eidfjord","Aalborg","228.3","44","47842","9650418"
"VIKING STAR","Viking Star","Aalborg","Eidfjord","228.3","44","47842","9650418"
"AZURA","Azura","Southampton","Olden","289.61","44","115055","9424883"
"AZURA","Azura","Southampton","Olden","289.61","44","115055","9424883"
"AZURA","Azura","Southampton","Flåm","289.61","44","115055","9424883"
"AZURA","Azura","Southampton","Flåm","289.61","44","115055","9424883"
"AZURA","Azura","Southampton","Ålesund","289.61","44","115055","9424883"
"AZURA","Azura","Southampton","Olden","289.61","44","115055","9424883"
"AZURA","Azura","Southampton","Flåm","289.61","44","115055","9424883"
"SERENADE OF THE SEAS","Serenade Of The Seas","København","Bergen","293.2","44","90090","9228344"
"SERENADE OF THE SEAS","Serenade Of The Seas","København","Bergen","293.2","44","90090","9228344"
"MEIN SCHIFF 3","Mein Schiff 3","Hellesylt","Kristiansand","293.2","44","99526","9641730"
"ARCADIA","Arcadia","Southampton","Skjolden","285.11","44","84342","9226906"
"ARCADIA","Arcadia","Flåm","Southampton","285.11","44","84342","9226906"
"ARCADIA","Arcadia","Southampton","Flåm","285.11","44","84342","9226906"
"ARCADIA","Arcadia","Southampton","Ålesund","285.11","44","84342","9226906"
"NORWEGIAN JADE","Norwegian Jade","Southampton","Skjolden","294.1","44","93558","9304057"
"NORWEGIAN JADE","Norwegian Jade","Southampton","Hellesylt","294.1","44","93558","9304057"
"VIKING SKY","Viking Sky","Eidfjord","Aalborg","228.28","44","47842","9650420"
"VIKING SKY","Viking Sky","Aalborg","Eidfjord","228.28","44","47842","9650420"
"VIKING SKY","Viking Sky","Aalborg","Eidfjord","228.28","44","47842","9650420"
"VIKING SKY","Viking Sky","Eidfjord","Aalborg","228.28","44","47842","9650420"
"VIKING SKY","Viking Sky","Aalborg","Eidfjord","228.28","44","47842","9650420"
"KONINGSDAM","Koningsdam","Flåm","Kristiansand","297.2","44","99836","9692557"
"KONINGSDAM","Koningsdam","Eidfjord","Amsterdam","297.2","44","99836","9692557"
"KONINGSDAM","Koningsdam","Flåm","Kristiansand","297.2","44","99836","9692557"
"KONINGSDAM","Koningsdam","Amsterdam","Eidfjord","297.2","44","99836","9692557"
"KONINGSDAM","Koningsdam","Kristiansand","Flåm","297.2","44","99836","9692557"
"KONINGSDAM","Koningsdam","Flåm","Kristiansand","297.2","44","99836","9692557"
"BALMORAL","Balmoral","Dover","Lysefjorden","217.91","44","43537","8506294"
"SAGA SAPPHIRE","Saga Sapphire","Olden","TBN","199.63","44","37049","7822457"
"SAGA SAPPHIRE","Saga Sapphire","Dover","Flåm","199.63","44","37049","7822457"
"MSC FANTASIA","Msc Fantasia","Flåm","Kiel","333.3","44","137936","9359791"
"MSC FANTASIA","Msc Fantasia","Flåm","Kiel","333.3","44","137936","9359791"
"MSC FANTASIA","Msc Fantasia","Flåm","Kiel","333.3","44","137936","9359791"
"MSC FANTASIA","Msc Fantasia","Flåm","Kiel","333.3","44","137936","9359791"
"MSC FANTASIA","Msc Fantasia","Flåm","Kiel","333.3","44","137936","9359791"
"MSC FANTASIA","Msc Fantasia","Flåm","Kiel","333.3","44","137936","9359791"
"MSC FANTASIA","Msc Fantasia","Flåm","Kiel","333.3","44","137936","9359791"
"ZUIDERDAM","Zuiderdam","Kristiansand","Flåm","285.28","44","82305","9221279"
