"model","price","miles","sale"
"Y",23200,41430,"Auction"
"Y",23100,42524,"Auction"
"Y",23100,42692,"Auction"
"Y",23200,39911,"Auction"
"Y",24500,33199,"Online"
"Y",22600,43090,"Auction"
"Y",24900,33960,"Online"
"Y",23900,38089,"Auction"
"Y",22600,45909,"Auction"
"Y",22700,41355,"Auction"
"Y",24000,36396,"Auction"
"Y",24000,36108,"Auction"
"Y",23800,40743,"Auction"
"Y",24000,35497,"Auction"
"Y",22800,46867,"Auction"
"Y",24200,36563,"Auction"
"Y",24000,34486,"Auction"
"Y",24200,37157,"Auction"
"Y",23200,36729,"Auction"
"Y",22800,47330,"Auction"
"Y",22200,44996,"Auction"
"Y",22250,44102,"Auction"
"Y",22600,47993,"Auction"
"Y",24100,33188,"Auction"
"Y",23500,34669,"Auction"
"Y",22250,42809,"Auction"
"Y",22000,46830,"Auction"
"Y",23000,36946,"Auction"
"Y",22000,45160,"Auction"
"Y",25300,31707,"Online"
"Y",24400,32371,"Auction"
"Y",24400,32262,"Auction"
"Y",24600,33664,"Auction"
"Y",24000,36554,"Online"
"Y",24300,31790,"Auction"
"Y",21800,47163,"Auction"
"Y",24600,32500,"Auction"
"Y",23500,33577,"Auction"
"Y",23100,47936,"Auction"
"Y",23400,33855,"Auction"
"Y",21900,50928,"Auction"
"Y",21750,46651,"Auction"
"Y",21750,50550,"Auction"
"Y",21900,43163,"Auction"
"Y",21500,50750,"Auction"
"Y",24900,31062,"Auction"
"Y",25000,31089,"Auction"
"Y",21500,46920,"Auction"
"Y",21400,51764,"Auction"
"Y",25000,36528,"Online"
"Y",22800,35396,"Auction"
"Y",23800,37694,"Online"
"Y",25000,35082,"Auction"
"Y",23900,38719,"Online"
"Y",23800,46064,"Auction"
"Y",24800,28358,"Auction"
"Y",21300,52497,"Auction"
"Y",22000,40623,"Auction"
"Y",24000,39163,"Online"
"Y",22600,36054,"Auction"
"Y",23900,33247,"Online"
"Y",25000,28236,"Auction"
"Y",24800,38470,"Auction"
"Y",24500,38935,"Online"
"Y",25200,33427,"Auction"
"Y",23900,39226,"Online"
"Y",25300,31797,"Auction"
"Y",25200,27968,"Auction"
"Y",25100,36136,"Auction"
"Y",25400,30976,"Auction"
"Y",21600,55975,"Auction"
"Y",22600,34834,"Auction"
"Y",23200,31358,"Auction"
"Y",25500,34349,"Online"
"Y",25500,31468,"Auction"
"Y",25500,27539,"Auction"
"Y",23200,51254,"Auction"
"Y",25700,32305,"Online"
"Y",24600,42673,"Auction"
"Y",25500,33430,"Auction"
"Y",24800,38894,"Online"
"Y",23800,27915,"Auction"
"Y",22400,35243,"Auction"
"Y",23700,49201,"Auction"
"Y",21000,46865,"Auction"
"Y",24000,47527,"Auction"
"Y",25400,35688,"Auction"
"Y",25200,38277,"Auction"
"Y",25800,29514,"Auction"
"Y",24000,26495,"Auction"
"Y",25800,26488,"Auction"
"Y",20600,55330,"Auction"
"Y",24000,26443,"Auction"
"Y",23800,41064,"Online"
"Y",25300,37839,"Auction"
"Y",25750,24347,"Auction"
"Y",25600,34649,"Auction"
"Y",24600,44154,"Auction"
"Y",25700,33390,"Auction"
"Y",25500,36054,"Auction"
"Y",26000,28140,"Auction"
"Y",21000,44867,"Auction"
"Y",26000,28446,"Auction"
"Y",23400,52289,"Auction"
"Y",22700,31720,"Auction"
"Y",25500,37006,"Auction"
"Y",25000,25903,"Online"
"Y",26000,30802,"Auction"
"Y",26000,23047,"Auction"
"Y",26000,31324,"Auction"
"Y",20600,48188,"Auction"
"Y",26200,28399,"Auction"
"Y",20200,54133,"Auction"
"Y",20800,61340,"Auction"
"Y",24000,29465,"Online"
"Y",26000,26565,"Online"
"Y",21200,41239,"Auction"
"Y",25000,43243,"Auction"
"Y",26300,28832,"Auction"
"Y",20100,59942,"Auction"
"Y",25700,19846,"Auction"
"Y",21000,62363,"Auction"
"Y",22000,60501,"Auction"
"Y",25600,39122,"Auction"
"Y",26500,27503,"Auction"
"Y",25200,42810,"Auction"
"Y",26200,32877,"Auction"
"Y",26600,27047,"Auction"
"Y",24200,21939,"Auction"
"Y",20000,51148,"Auction"
"Y",26600,28304,"Auction"
"Y",23500,24473,"Auction"
"Y",25200,44276,"Auction"
"Y",26500,32565,"Auction"
"Y",25200,45061,"Auction"
"Y",20200,66514,"Auction"
"Y",25500,16295,"Auction"
"Y",24800,24297,"Online"
"Y",21000,66214,"Auction"
"Y",21600,33564,"Auction"
"Y",20800,67134,"Auction"
"Y",26500,34650,"Auction"
"Y",23100,24278,"Auction"
"Y",26000,14256,"Auction"
"Y",22800,38544,"Online"
"Y",26000,22370,"Online"
"Y",20400,68940,"Auction"
"Y",22600,25909,"Auction"
"Y",25000,49010,"Auction"
"Y",19300,69496,"Auction"
"Y",22600,25406,"Auction"
"Y",24800,15087,"Auction"
"Y",18800,70330,"Auction"
"Y",22600,23672,"Auction"
"Y",19000,73520,"Auction"
"Y",19500,74715,"Auction"
"Y",19400,45498,"Auction"
"Y",27000,27832,"Online"
"Y",19650,76813,"Auction"
"Y",18000,76774,"Auction"
"Y",23300,16381,"Auction"
"Y",20400,33955,"Auction"
"Z",33400,13469,"Auction"
"Z",34000,13704,"Auction"
"Z",33000,16839,"Auction"
"Z",32500,17695,"Auction"
"Z",33000,19258,"Auction"
"Z",31500,19418,"Auction"
"Z",32000,19738,"Auction"
"Z",33000,21165,"Auction"
"Z",30200,21383,"Auction"
"Z",34000,21387,"Auction"
"Z",30700,21481,"Auction"
"Z",31400,21483,"Auction"
"Z",29600,22183,"Auction"
"Z",32900,22945,"Auction"
"Z",32800,23384,"Auction"
"Z",33400,24082,"Auction"
"Z",32800,24719,"Auction"
"Z",32500,25378,"Auction"
"Z",32200,25427,"Auction"
"Z",33400,25645,"Auction"
"Z",31400,25908,"Auction"
"Z",35400,25988,"Auction"
"Z",32200,26283,"Auction"
"Z",30200,26674,"Auction"
"Z",31000,26971,"Auction"
"Z",33600,27019,"Auction"
"Z",31000,27142,"Auction"
"Z",30200,27242,"Auction"
"Z",34200,27304,"Auction"
"Z",32500,27873,"Auction"
"Z",32000,27970,"Auction"
"Z",32000,28149,"Auction"
"Z",32600,28151,"Auction"
"Z",31000,28329,"Auction"
"Z",34100,28664,"Auction"
"Z",32000,29180,"Auction"
"Z",32500,29414,"Auction"
"Z",31800,29867,"Auction"
"Z",31200,29903,"Auction"
"Z",31600,29966,"Auction"
"Z",33000,30298,"Auction"
"Z",33500,30330,"Auction"
"Z",29800,30495,"Auction"
"Z",32500,30656,"Auction"
"Z",33200,30814,"Auction"
"Z",31500,30838,"Auction"
"Z",31400,30978,"Auction"
"Z",34000,31244,"Auction"
"Z",33500,31372,"Auction"
"Z",28800,31392,"Auction"
"Z",33000,31573,"Auction"
"Z",31200,32162,"Auction"
"Z",30200,32238,"Auction"
"Z",32750,32414,"Auction"
"Z",31250,32439,"Auction"
"Z",32750,32562,"Auction"
"Z",32500,32586,"Auction"
"Z",30000,32788,"Auction"
"Z",32800,32861,"Auction"
"Z",30000,33219,"Auction"
"Z",31800,33244,"Auction"
"Z",32250,33305,"Auction"
"Z",31500,33459,"Auction"
"Z",31800,33483,"Auction"
"Z",32000,33758,"Auction"
"Z",31500,33912,"Auction"
"Z",32500,33981,"Auction"
"Z",27000,34007,"Auction"
"Z",34400,34024,"Auction"
"Z",30000,34112,"Auction"
